machine,grid,rho,seed,Ts_ms,Tp_ms,speedup
nightmare.cs.uct.ac.za,64,0.08,1,2189,1729,1.266050
nightmare.cs.uct.ac.za,80,0.08,1,2864,2139,1.338943
nightmare.cs.uct.ac.za,96,0.08,1,3565,2544,1.401336
nightmare.cs.uct.ac.za,112,0.08,1,4287,2947,1.454700
nightmare.cs.uct.ac.za,128,0.08,1,5028,3347,1.502241
nightmare.cs.uct.ac.za,144,0.08,1,5785,3740,1.546791
nightmare.cs.uct.ac.za,160,0.08,1,6556,4122,1.590490
nightmare.cs.uct.ac.za,176,0.08,1,7340,4488,1.635472
nightmare.cs.uct.ac.za,192,0.08,1,8135,4837,1.681828
nightmare.cs.uct.ac.za,208,0.08,1,8941,5169,1.729735
nightmare.cs.uct.ac.za,224,0.08,1,9757,5488,1.777879
nightmare.cs.uct.ac.za,240,0.08,1,10582,5800,1.824483
nightmare.cs.uct.ac.za,256,0.08,1,11416,6115,1.866885
nightmare.cs.uct.ac.za,272,0.08,1,12258,6439,1.903712
nightmare.cs.uct.ac.za,288,0.08,1,13107,6779,1.933471
nightmare.cs.uct.ac.za,304,0.08,1,13963,7140,1.955602
nightmare.cs.uct.ac.za,320,0.08,1,14826,7524,1.970494
nightmare.cs.uct.ac.za,336,0.08,1,15696,7928,1.979818
nightmare.cs.uct.ac.za,352,0.08,1,16571,8345,1.985740
nightmare.cs.uct.ac.za,368,0.08,1,17453,8768,1.990534
nightmare.cs.uct.ac.za,384,0.08,1,18340,9185,1.996734
nightmare.cs.uct.ac.za,400,0.08,1,19232,9587,2.006050
nightmare.cs.uct.ac.za,416,0.08,1,20130,9967,2.019665
nightmare.cs.uct.ac.za,432,0.08,1,21032,10321,2.037787
nightmare.cs.uct.ac.za,448,0.08,1,21939,10655,2.059033
nightmare.cs.uct.ac.za,464,0.08,1,22851,10977,2.081716
nightmare.cs.uct.ac.za,480,0.08,1,23767,11296,2.104019
nightmare.cs.uct.ac.za,496,0.08,1,24687,11628,2.123065
nightmare.cs.uct.ac.za,512,0.08,1,25612,11982,2.137540
nightmare.cs.uct.ac.za,528,0.08,1,26540,12368,2.145860
nightmare.cs.uct.ac.za,544,0.08,1,27473,12788,2.148342
nightmare.cs.uct.ac.za,560,0.08,1,28409,13242,2.145371
nightmare.cs.uct.ac.za,576,0.08,1,29348,13720,2.139067
nightmare.cs.uct.ac.za,592,0.08,1,30292,14212,2.131438
nightmare.cs.uct.ac.za,608,0.08,1,31239,14700,2.125102
nightmare.cs.uct.ac.za,624,0.08,1,32189,15170,2.121885
nightmare.cs.uct.ac.za,640,0.08,1,33142,15607,2.123534
nightmare.cs.uct.ac.za,656,0.08,1,34099,16007,2.130256
nightmare.cs.uct.ac.za,672,0.08,1,35059,16370,2.141662
nightmare.cs.uct.ac.za,688,0.08,1,36021,16705,2.156301
nightmare.cs.uct.ac.za,704,0.08,1,36987,17028,2.172128
nightmare.cs.uct.ac.za,720,0.08,1,37956,17358,2.186657
nightmare.cs.uct.ac.za,736,0.08,1,38928,17712,2.197832
nightmare.cs.uct.ac.za,752,0.08,1,39902,18137,2.200033
nightmare.cs.uct.ac.za,768,0.08,1,40879,18581,2.200043
