machine,grid,rho,seed,Ts_ms,Tp_ms,speedup
Sanjans-MacBook-Pro.local,200,0.02000,1,108,61,1.770492
Sanjans-MacBook-Pro.local,200,0.04000,1,194,94,2.063830
Sanjans-MacBook-Pro.local,200,0.06000,1,262,125,2.096000
Sanjans-MacBook-Pro.local,200,0.08000,1,331,156,2.121795
Sanjans-MacBook-Pro.local,200,0.10000,1,382,162,2.358025
Sanjans-MacBook-Pro.local,200,0.12000,1,431,183,2.355191
Sanjans-MacBook-Pro.local,200,0.14000,1,471,214,2.200935
Sanjans-MacBook-Pro.local,200,0.16000,1,515,229,2.248908
Sanjans-MacBook-Pro.local,200,0.18000,1,557,249,2.236948
Sanjans-MacBook-Pro.local,200,0.20000,1,594,284,2.091549
Sanjans-MacBook-Pro.local,200,0.22000,1,644,289,2.228374
Sanjans-MacBook-Pro.local,200,0.24000,1,669,301,2.222591
Sanjans-MacBook-Pro.local,200,0.26000,1,681,313,2.175719
Sanjans-MacBook-Pro.local,200,0.28000,1,713,334,2.134731
Sanjans-MacBook-Pro.local,200,0.30000,1,744,331,2.247734
Sanjans-MacBook-Pro.local,200,0.32000,1,767,344,2.229651
Sanjans-MacBook-Pro.local,200,0.34000,1,790,358,2.206704
Sanjans-MacBook-Pro.local,200,0.36000,1,804,358,2.245810
Sanjans-MacBook-Pro.local,200,0.38000,1,818,369,2.216802
Sanjans-MacBook-Pro.local,200,0.40000,1,830,367,2.261580
Sanjans-MacBook-Pro.local,200,0.42000,1,848,374,2.267380
Sanjans-MacBook-Pro.local,200,0.44000,1,875,387,2.260982
Sanjans-MacBook-Pro.local,200,0.46000,1,884,390,2.266667
Sanjans-MacBook-Pro.local,200,0.48000,1,903,407,2.218673
Sanjans-MacBook-Pro.local,200,0.50000,1,923,405,2.279012
